DATE;HOUR;MINUTE;AVG;MIN;MAX;HH;H;L;LL;MEASURE
20160105;23;;143.59;;;;;;;Rh/h
20160106;0;;143.62;;;;;;;Rh/h
20160106;1;;143.67;;;;;;;Rh/h
20160106;2;;143.53;;;;;;;Rh/h
20160106;3;;143.54;;;;;;;Rh/h
20160106;4;;143.54;;;;;;;Rh/h
20160106;5;;143.52;;;;;;;Rh/h
20160106;6;;143.53;;;;;;;Rh/h
20160106;7;;143.72;;;;;;;Rh/h
20160106;8;;143.64;;;;;;;Rh/h
20160106;9;;143.44;;;;;;;Rh/h
20160106;10;;143.47;;;;;;;Rh/h
20160106;11;;143.56;;;;;;;Rh/h
20160106;12;;143.62;;;;;;;Rh/h
20160106;13;;143.69;;;;;;;Rh/h
20160106;14;;143.55;;;;;;;Rh/h
20160106;15;;143.53;;;;;;;Rh/h
20160106;16;;143.51;;;;;;;Rh/h
20160106;17;;143.7;;;;;;;Rh/h
20160106;18;;143.57;;;;;;;Rh/h
20160106;19;;143.57;;;;;;;Rh/h
20160106;20;;143.64;;;;;;;Rh/h
20160106;21;;143.62;;;;;;;Rh/h
20160106;22;;143.61;;;;;;;Rh/h
20160106;23;;143.68;;;;;;;Rh/h
20160107;0;;143.54;;;;;;;Rh/h
20160107;1;;143.6;;;;;;;Rh/h
20160107;2;;143.63;;;;;;;Rh/h
20160107;3;;143.66;;;;;;;Rh/h
20160107;4;;143.62;;;;;;;Rh/h
20160107;5;;143.72;;;;;;;Rh/h
20160107;6;;143.69;;;;;;;Rh/h
20160107;7;;143.61;;;;;;;Rh/h
20160107;8;;143.72;;;;;;;Rh/h
20160107;9;;143.75;;;;;;;Rh/h
20160107;10;;143.7;;;;;;;Rh/h
20160107;11;;143.62;;;;;;;Rh/h
20160107;12;;143.76;;;;;;;Rh/h
20160107;13;;143.74;;;;;;;Rh/h
20160107;14;;143.62;;;;;;;Rh/h
20160107;15;;143.64;;;;;;;Rh/h
20160107;16;;143.72;;;;;;;Rh/h
20160107;17;;143.7;;;;;;;Rh/h
20160107;18;;143.64;;;;;;;Rh/h
20160107;19;;143.67;;;;;;;Rh/h
20160107;20;;143.71;;;;;;;Rh/h
20160107;21;;143.58;;;;;;;Rh/h
20160107;22;;143.69;;;;;;;Rh/h
20160107;23;;143.54;;;;;;;Rh/h
20160108;0;;143.74;;;;;;;Rh/h
20160108;1;;143.69;;;;;;;Rh/h
20160108;2;;143.6;;;;;;;Rh/h
20160108;3;;143.68;;;;;;;Rh/h
20160108;4;;143.76;;;;;;;Rh/h
20160108;5;;143.66;;;;;;;Rh/h
20160108;6;;143.68;;;;;;;Rh/h
20160108;7;;143.59;;;;;;;Rh/h
20160108;8;;143.65;;;;;;;Rh/h
20160108;9;;143.83;;;;;;;Rh/h
20160108;10;;143.47;;;;;;;Rh/h
20160108;11;;143.6;;;;;;;Rh/h
20160108;12;;143.6;;;;;;;Rh/h
20160108;13;;143.65;;;;;;;Rh/h
20160108;14;;143.59;;;;;;;Rh/h
20160108;15;;143.58;;;;;;;Rh/h
20160108;16;;143.6;;;;;;;Rh/h
20160108;17;;143.63;;;;;;;Rh/h
20160108;18;;143.79;;;;;;;Rh/h
20160108;19;;143.58;;;;;;;Rh/h
20160108;20;;143.65;;;;;;;Rh/h
20160108;21;;143.6;;;;;;;Rh/h
20160108;22;;143.63;;;;;;;Rh/h
20160108;23;;143.7;;;;;;;Rh/h
20160109;0;;143.57;;;;;;;Rh/h
20160109;1;;143.53;;;;;;;Rh/h
20160109;2;;143.55;;;;;;;Rh/h
20160109;3;;143.59;;;;;;;Rh/h
20160109;4;;143.67;;;;;;;Rh/h
20160109;5;;143.61;;;;;;;Rh/h
20160109;6;;143.6;;;;;;;Rh/h
20160109;7;;143.57;;;;;;;Rh/h
20160109;8;;143.61;;;;;;;Rh/h
20160109;9;;143.59;;;;;;;Rh/h
20160109;10;;143.53;;;;;;;Rh/h
20160109;11;;143.49;;;;;;;Rh/h
20160109;12;;143.57;;;;;;;Rh/h
20160109;13;;143.62;;;;;;;Rh/h
20160109;14;;143.48;;;;;;;Rh/h
20160109;15;;143.45;;;;;;;Rh/h
20160109;16;;143.57;;;;;;;Rh/h
20160109;17;;143.48;;;;;;;Rh/h
20160109;18;;143.57;;;;;;;Rh/h
20160109;19;;143.64;;;;;;;Rh/h
20160109;20;;143.55;;;;;;;Rh/h
20160109;21;;143.64;;;;;;;Rh/h
20160109;22;;143.49;;;;;;;Rh/h
20160109;23;;143.48;;;;;;;Rh/h
20160110;0;;143.65;;;;;;;Rh/h
20160110;1;;143.51;;;;;;;Rh/h
20160110;2;;143.54;;;;;;;Rh/h
20160110;3;;143.5;;;;;;;Rh/h
20160110;4;;143.55;;;;;;;Rh/h
20160110;5;;143.36;;;;;;;Rh/h
20160110;6;;143.4;;;;;;;Rh/h
20160110;7;;143.46;;;;;;;Rh/h
20160110;8;;143.47;;;;;;;Rh/h
20160110;9;;143.65;;;;;;;Rh/h
20160110;10;;143.52;;;;;;;Rh/h
20160110;11;;143.33;;;;;;;Rh/h
20160110;12;;143.38;;;;;;;Rh/h
20160110;13;;143.49;;;;;;;Rh/h
20160110;14;;143.61;;;;;;;Rh/h
20160110;15;;143.59;;;;;;;Rh/h
20160110;16;;143.6;;;;;;;Rh/h
20160110;17;;143.54;;;;;;;Rh/h
20160110;18;;143.68;;;;;;;Rh/h
20160110;19;;143.55;;;;;;;Rh/h
20160110;20;;143.53;;;;;;;Rh/h
20160110;21;;143.52;;;;;;;Rh/h
20160110;22;;143.53;;;;;;;Rh/h
20160110;23;;143.61;;;;;;;Rh/h
20160111;0;;143.51;;;;;;;Rh/h
20160111;1;;143.51;;;;;;;Rh/h
20160111;2;;143.61;;;;;;;Rh/h
20160111;3;;143.52;;;;;;;Rh/h
20160111;4;;143.52;;;;;;;Rh/h
20160111;5;;143.5;;;;;;;Rh/h
20160111;6;;143.63;;;;;;;Rh/h
20160111;7;;143.56;;;;;;;Rh/h
20160111;8;;143.46;;;;;;;Rh/h
20160111;9;;143.54;;;;;;;Rh/h
20160111;10;;143.58;;;;;;;Rh/h
20160111;11;;143.39;;;;;;;Rh/h
20160111;12;;143.4;;;;;;;Rh/h
20160111;13;;143.31;;;;;;;Rh/h
20160111;14;;143.6;;;;;;;Rh/h
20160111;15;;143.47;;;;;;;Rh/h
20160111;16;;143.6;;;;;;;Rh/h
20160111;17;;143.54;;;;;;;Rh/h
20160111;18;;143.48;;;;;;;Rh/h
20160111;19;;143.58;;;;;;;Rh/h
20160111;20;;143.62;;;;;;;Rh/h
20160111;21;;143.57;;;;;;;Rh/h
20160111;22;;143.62;;;;;;;Rh/h
20160111;23;;143.49;;;;;;;Rh/h
20160112;0;;143.64;;;;;;;Rh/h
20160112;1;;143.66;;;;;;;Rh/h
20160112;2;;143.64;;;;;;;Rh/h
20160112;3;;143.59;;;;;;;Rh/h
20160112;4;;143.55;;;;;;;Rh/h
20160112;5;;143.7;;;;;;;Rh/h
20160112;6;;143.6;;;;;;;Rh/h
20160112;7;;143.63;;;;;;;Rh/h
20160112;8;;143.48;;;;;;;Rh/h
